Spend Date,Channel,Campaign Name,Raw Spend,Net Spend
2026-06-02,Meta Ads,IG - Catalog Sales,91.8,85.48
2026-05-30,Meta Ads,FB - Lookalike,120.16,116.46
2026-06-11,Google Ads,Search - Non Brand,134.21,127.11
2026-05-21,Meta Ads,FB - Prospecting,90.55,82.07
2026-06-30,Google Ads,Shopping - Bestsellers,148.7,138.97
2026-06-03,Meta Ads,IG - Retargeting,88.94,82.96
2026-05-25,Meta Ads,IG - Retargeting,115.59,105.25
2026-05-17,Meta Ads,FB - Prospecting,96.82,92.18
2026-07-21,Google Ads,Display - Retargeting,194.51,186.59
2026-06-11,Google Ads,Display - Retargeting,137.77,134.12
2026-07-02,Meta Ads,IG - Catalog Sales,130.03,123.47
2026-06-02,Meta Ads,FB - Prospecting,57.98,55.49
2026-05-29,Meta Ads,FB - Lookalike,80.39,79.1
2026-07-02,Google Ads,Search - Non Brand,173.73,164.75
2026-05-19,Meta Ads,IG - Retargeting,100.4,96.82
2026-05-21,Meta Ads,FB - Prospecting,90.55,82.07
2026-05-11,Meta Ads,IG - Retargeting,83.07,78.91
2026-06-12,Google Ads,Shopping - Bestsellers,94.55,86.28
2026-07-06,Google Ads,Search - Brand,159.35,157.23
2026-07-19,Google Ads,Display - Retargeting,148.6,146.27
2026-06-14,Meta Ads,IG - Retargeting,86.24,82.36
2026-06-24,Meta Ads,FB - Prospecting,90.72,86.27
2026-06-28,Google Ads,Display - Retargeting,116.45,108.11
2026-07-28,Meta Ads,FB - Lookalike,137.07,126.75
2026-06-13,Google Ads,Search - Non Brand,132.09,129.3
2026-06-20,Meta Ads,IG - Catalog Sales,82.47,80.85
2026-07-26,Meta Ads,IG - Retargeting,136.3,133.52
2026-07-28,Meta Ads,FB - Prospecting,95.89,90.0
2026-07-06,Meta Ads,IG - Retargeting,125.82,121.26
2026-05-05,Meta Ads,IG - Retargeting,110.72,105.86
2026-05-03,Meta Ads,IG - Catalog Sales,125.91,122.1
2026-06-25,Google Ads,Search - Non Brand,154.58,147.43
2026-07-24,Meta Ads,FB - Lookalike,97.38,91.9
2026-05-21,Meta Ads,IG - Catalog Sales,108.44,103.21
2026-07-12,Meta Ads,IG - Catalog Sales,147.74,145.41
2026-07-22,Meta Ads,IG - Catalog Sales,120.47,112.4
2026-05-27,Google Ads,Search - Non Brand,144.0,135.98
2026-05-31,Meta Ads,FB - Lookalike,166.53,157.67
2026-07-10,Meta Ads,FB - Lookalike,106.43,101.53
2026-07-28,Google Ads,Search - Non Brand,144.49,137.15
2026-05-10,Google Ads,Search - Brand,192.86,177.7
2026-05-17,Meta Ads,IG - Catalog Sales,63.98,60.98
2026-06-28,Meta Ads,IG - Catalog Sales,146.69,132.34
2026-05-14,Google Ads,Search - Non Brand,162.79,155.76
2026-06-25,Meta Ads,FB - Prospecting,118.95,114.42
2026-07-16,Meta Ads,FB - Prospecting,134.82,123.52
2026-05-26,Google Ads,Search - Brand,159.19,144.31
2026-06-13,Google Ads,Shopping - Bestsellers,188.91,171.9
2026-07-09,Meta Ads,FB - Prospecting,139.28,127.0
2026-07-26,Google Ads,Display - Retargeting,201.16,192.51
2026-05-09,Meta Ads,IG - Catalog Sales,129.05,121.83
2026-05-14,Meta Ads,IG - Retargeting,94.29,85.07
2026-06-15,Google Ads,Shopping - Bestsellers,209.74,206.4
2026-07-04,Google Ads,Display - Retargeting,191.58,187.38
2026-05-16,Google Ads,Search - Non Brand,155.76,154.06
2026-06-08,Meta Ads,FB - Prospecting,100.12,93.02
2026-06-01,Google Ads,Search - Non Brand,215.83,202.08
2026-05-27,Google Ads,Shopping - Bestsellers,149.31,135.14
2026-05-23,Google Ads,Display - Retargeting,128.99,125.46
2026-05-19,Google Ads,Search - Brand,120.28,108.53
2026-05-05,Meta Ads,IG - Retargeting,110.72,105.86
2026-07-14,Google Ads,Search - Brand,125.57,122.87
2026-07-22,Meta Ads,IG - Retargeting,161.27,146.89
2026-06-08,Meta Ads,IG - Catalog Sales,121.44,115.97
2026-06-22,google_ads,Display - Retargeting,85.87,79.28
2026-06-10,Google Ads,Search - Non Brand,142.39,140.52
2026-07-06,Meta Ads,IG - Catalog Sales,99.0,94.63
2026-05-30,Google Ads,Search - Brand,194.23,192.07
2026-07-12,Meta Ads,FB - Prospecting,102.86,94.12
2026-06-01,Meta Ads,FB - Prospecting,151.75,141.93
2026-07-26,Meta Ads,IG - Catalog Sales,100.11,93.8
2026-07-07,Meta Ads,IG - Retargeting,54.04,52.5
2026-07-29,Meta Ads,FB - Prospecting,127.01,124.37
2026-07-23,Google Ads,Search - Non Brand,118.24,111.19
2026-06-20,meta_ads,FB - Lookalike,129.78,121.72
2026-06-06,Meta Ads,FB - Prospecting,88.88,82.26
2026-06-07,Meta Ads,IG - Retargeting,95.07,93.97
2026-06-27,Google Ads,Search - Brand,166.11,152.2
2026-05-25,Google Ads,Shopping - Bestsellers,149.54,135.36
2026-05-05,Google Ads,Search - Non Brand,172.94,168.34
2026-06-21,Google Ads,Display - Retargeting,172.73,161.82
2026-06-06,Google Ads,Search - Brand,213.27,207.09
2026-05-09,Google Ads,Shopping - Bestsellers,78.05,72.25
2026-05-20,Google Ads,Search - Brand,229.58,215.29
2026-07-04,Meta Ads,FB - Prospecting,144.61,139.23
2026-05-01,Google Ads,Display - Retargeting,141.22,138.11
2026-06-30,Meta Ads,FB - Lookalike,86.32,85.39
2026-07-19,Google Ads,Shopping - Bestsellers,147.31,139.62
2026-06-19,Meta Ads,IG - Retargeting,86.13,78.32
2026-05-17,Meta Ads,IG - Retargeting,112.9,101.98
2026-05-07,Meta Ads,FB - Prospecting,147.46,143.38
2026-06-16,Google Ads,Shopping - Bestsellers,112.05,106.26
2026-07-21,Meta Ads,IG - Catalog Sales,129.86,126.02
2026-07-10,Google Ads,Shopping - Bestsellers,154.8,143.07
2026-05-15,Meta Ads,FB - Lookalike,126.42,124.43
2026-07-18,Google Ads,Display - Retargeting,133.95,129.08
2026-07-11,Google Ads,Search - Non Brand,165.95,149.95
2026-06-23,Meta Ads,IG - Retargeting,149.48,143.48
2026-05-18,Meta Ads,FB - Lookalike,59.25,57.57
2026-07-11,Google Ads,Search - Brand,179.47,174.12
2026-06-07,Google Ads,Search - Non Brand,171.11,156.35
2026-06-28,Google Ads,Search - Non Brand,138.41,133.24
2026-06-15,Google Ads,Search - Non Brand,167.68,160.07
2026-05-06,Meta Ads,IG - Retargeting,166.94,156.67
2026-06-06,Meta Ads,IG - Catalog Sales,177.28,175.29
2026-05-31,Google Ads,Shopping - Bestsellers,154.51,142.24
2026-06-15,Google Ads,Search - Brand,120.36,114.57
2026-05-06,Google Ads,Shopping - Bestsellers,163.56,158.4
2026-05-12,Google Ads,Shopping - Bestsellers,169.57,166.15
2026-07-13,Google Ads,Search - Non Brand,125.74,123.02
2026-07-23,Meta Ads,IG - Retargeting,150.29,141.53
2026-07-06,Meta Ads,FB - Prospecting,106.61,98.84
2026-06-05,Meta Ads,IG - Retargeting,77.33,71.84
2026-05-04,Meta Ads,FB - Prospecting,106.18,98.25
2026-06-13,Meta Ads,FB - Prospecting,111.9,108.74
2026-06-30,meta_ads,FB - Prospecting,149.53,147.29
2026-06-21,Google Ads,Search - Brand,130.4,120.4
2026-07-17,Meta Ads,IG - Catalog Sales,134.31,121.77
2026-06-25,Meta Ads,IG - Retargeting,173.12,162.58
2026-05-05,Google Ads,Display - Retargeting,184.92,167.66
2026-05-16,Meta Ads,FB - Prospecting,152.49,142.17
2026-06-11,Meta Ads,FB - Prospecting,58.86,55.42
2026-05-23,Google Ads,Search - Non Brand,161.52,157.05
2026-06-21,Meta Ads,IG - Catalog Sales,131.97,124.56
2026-06-25,Google Ads,Search - Brand,128.41,121.31
2026-05-01,Meta Ads,IG - Catalog Sales,136.28,124.9
2026-07-18,Google Ads,Search - Brand,152.88,142.23
2026-06-16,Google Ads,Search - Brand,144.07,140.07
2026-05-06,Google Ads,Search - Brand,180.47,176.83
2026-06-18,Google Ads,Shopping - Bestsellers,148.77,141.46
2026-05-16,Google Ads,Shopping - Bestsellers,152.18,148.98
2026-05-13,Meta Ads,FB - Prospecting,148.9,142.82
2026-06-06,Google Ads,Shopping - Bestsellers,152.9,145.69
2026-07-23,Google Ads,Shopping - Bestsellers,126.04,116.01
2026-06-09,Google Ads,Shopping - Bestsellers,125.56,116.81
2026-06-08,Google Ads,Search - Brand,128.37,117.51
2026-05-16,Meta Ads,IG - Retargeting,0.0,0.0
2026-06-26,Google Ads,Shopping - Bestsellers,147.21,134.94
2026-07-10,Meta Ads,IG - Catalog Sales,47.28,43.79
2026-07-01,Google Ads,Search - Non Brand,168.47,159.4
2026-06-23,Google Ads,Search - Non Brand,113.31,107.63
2026-06-30,Google Ads,Search - Non Brand,121.21,109.28
2026-05-03,Meta Ads,IG - Retargeting,83.37,78.94
2026-06-01,Meta Ads,IG - Catalog Sales,141.53,137.36
2026-06-13,Google Ads,Search - Brand,152.68,147.89
2026-05-07,Google Ads,Search - Non Brand,163.39,158.16
2026-06-14,Meta Ads,FB - Prospecting,128.4,121.41
2026-05-31,Meta Ads,FB - Prospecting,73.98,67.34
2026-07-15,Google Ads,Search - Non Brand,87.43,84.41
2026-05-30,Google Ads,Shopping - Bestsellers,85.76,84.67
2026-06-27,Google Ads,Shopping - Bestsellers,109.46,107.62
2026-06-16,Google Ads,Display - Retargeting,87.94,86.43
2026-07-20,Meta Ads,IG - Retargeting,177.42,162.51
2026-06-24,Google Ads,Shopping - Bestsellers,127.07,117.66
2026-06-05,Meta Ads,FB - Prospecting,97.31,87.75
2026-07-24,google_ads,Search - Brand,97.89,93.21
2026-06-26,Meta Ads,FB - Lookalike,145.02,133.78
2026-07-16,Meta Ads,IG - Retargeting,127.82,117.77
2026-07-20,Meta Ads,FB - Prospecting,101.29,99.08
2026-07-09,Meta Ads,FB - Lookalike,125.9,122.34
2026-07-12,Meta Ads,IG - Retargeting,137.18,124.75
2026-07-04,Google Ads,Search - Brand,175.57,162.23
2026-05-19,Meta Ads,FB - Lookalike,82.17,81.01
2026-07-14,Google Ads,Search - Non Brand,131.85,121.27
2026-05-17,Google Ads,Shopping - Bestsellers,185.78,182.08
2026-05-26,Meta Ads,IG - Retargeting,77.78,76.63
2026-06-07,Meta Ads,FB - Lookalike,112.83,111.39
2026-06-13,Meta Ads,IG - Retargeting,90.64,82.8
2026-06-18,Meta Ads,FB - Prospecting,112.35,106.42
2026-07-03,Google Ads,Search - Brand,143.36,133.83
2026-06-18,Google Ads,Search - Non Brand,144.59,132.61
2026-05-07,Meta Ads,IG - Retargeting,129.86,119.05
2026-06-09,Google Ads,Search - Brand,173.95,158.97
2026-05-18,Google Ads,Display - Retargeting,175.48,159.28
2026-05-27,meta_ads,FB - Lookalike,116.74,108.07
2026-07-20,Meta Ads,IG - Retargeting,177.42,162.51
2026-06-19,Google Ads,Shopping - Bestsellers,185.09,167.03
2026-07-03,Google Ads,Shopping - Bestsellers,148.76,134.97
2026-07-02,Meta Ads,IG - Retargeting,108.37,106.85
2026-07-12,Google Ads,Search - Non Brand,124.43,112.87
2026-06-12,Meta Ads,IG - Catalog Sales,94.5,91.38
2026-05-20,Meta Ads,FB - Prospecting,133.31,125.67
2026-06-26,Google Ads,Search - Non Brand,91.12,82.76
2026-07-18,Meta Ads,IG - Retargeting,109.52,105.83
2026-06-22,Google Ads,Shopping - Bestsellers,161.54,154.6
2026-06-28,Google Ads,Search - Brand,133.71,121.27
2026-06-04,Meta Ads,IG - Retargeting,102.73,96.94
2026-07-08,Google Ads,Search - Brand,101.99,100.52
2026-05-07,Google Ads,Shopping - Bestsellers,119.68,117.73
2026-06-25,Google Ads,Shopping - Bestsellers,193.1,175.64
2026-07-10,Meta Ads,FB - Prospecting,106.61,96.06
2026-05-08,Meta Ads,FB - Lookalike,115.16,109.02
2026-07-17,Google Ads,Shopping - Bestsellers,136.41,134.67
2026-07-13,Meta Ads,IG - Catalog Sales,125.94,114.03
2026-06-30,Google Ads,Search - Brand,112.34,101.53
2026-07-27,Google Ads,Search - Brand,103.36,100.28
2026-06-23,Google Ads,Display - Retargeting,167.72,151.11
2026-07-13,Google Ads,Display - Retargeting,173.82,169.18
2026-07-28,Meta Ads,IG - Catalog Sales,168.85,153.17
2026-06-15,Meta Ads,IG - Retargeting,116.23,113.38
2026-06-22,Meta Ads,IG - Catalog Sales,96.65,94.94
2026-06-05,Meta Ads,IG - Catalog Sales,87.55,85.81
2026-06-11,Meta Ads,IG - Retargeting,89.76,83.22
2026-07-05,Meta Ads,FB - Lookalike,139.36,135.21
2026-07-07,Meta Ads,FB - Prospecting,76.56,70.03
2026-07-15,Google Ads,Shopping - Bestsellers,131.88,122.8
2026-07-12,Google Ads,Search - Brand,140.73,127.08
2026-07-18,Meta Ads,IG - Catalog Sales,182.3,177.29
2026-05-25,Meta Ads,FB - Lookalike,132.39,126.52
2026-07-01,Meta Ads,IG - Catalog Sales,102.88,94.02
2026-05-09,Meta Ads,FB - Prospecting,121.81,110.19
2026-07-11,Meta Ads,IG - Catalog Sales,120.81,114.36
2026-07-14,Google Ads,Display - Retargeting,128.49,121.4
2026-06-25,Meta Ads,IG - Catalog Sales,103.13,99.26
2026-05-16,Meta Ads,IG - Catalog Sales,135.41,133.0
2026-06-14,Meta Ads,IG - Catalog Sales,141.77,139.36
2026-07-19,meta_ads,IG - Retargeting,117.58,111.19
2026-05-20,Google Ads,Shopping - Bestsellers,197.51,178.01
2026-05-24,Meta Ads,FB - Prospecting,129.72,127.85
2026-05-18,Meta Ads,IG - Retargeting,100.45,96.17
2026-05-23,Meta Ads,FB - Prospecting,119.37,111.43
2026-06-14,Meta Ads,FB - Lookalike,123.28,118.68
2026-05-21,Meta Ads,FB - Lookalike,122.09,120.21
2026-07-19,Meta Ads,FB - Lookalike,147.49,138.78
2026-07-29,Google Ads,Shopping - Bestsellers,151.28,137.07
2026-06-04,Google Ads,Display - Retargeting,141.71,137.08
2026-07-03,Meta Ads,FB - Prospecting,104.47,102.03
2026-05-14,Meta Ads,FB - Prospecting,138.77,128.4
2026-06-05,Google Ads,Search - Non Brand,161.67,153.25
2026-07-14,Meta Ads,IG - Retargeting,133.09,131.72
2026-06-30,Meta Ads,IG - Catalog Sales,131.47,121.06
2026-05-25,Google Ads,Display - Retargeting,116.35,110.47
2026-06-10,Meta Ads,IG - Catalog Sales,107.64,98.46
2026-07-22,Google Ads,Search - Non Brand,167.01,156.38
2026-07-01,Google Ads,Display - Retargeting,130.09,119.26
2026-05-29,Google Ads,Shopping - Bestsellers,162.82,151.07
2026-07-17,Meta Ads,FB - Prospecting,81.16,78.69
2026-05-07,Google Ads,Display - Retargeting,131.18,127.6
2026-07-25,Meta Ads,FB - Lookalike,123.16,118.7
2026-05-10,Meta Ads,FB - Prospecting,90.28,81.58
2026-05-28,Meta Ads,IG - Retargeting,96.98,95.15
2026-05-29,Google Ads,Search - Brand,70.35,67.01
2026-07-04,meta_ads,IG - Retargeting,135.22,129.98
2026-07-07,Google Ads,Display - Retargeting,147.53,138.7
2026-07-15,Google Ads,Search - Brand,140.35,137.28
2026-07-27,Meta Ads,IG - Catalog Sales,132.41,120.31
2026-07-16,Meta Ads,IG - Catalog Sales,155.18,151.82
2026-06-26,Meta Ads,IG - Retargeting,138.32,132.69
2026-06-30,Meta Ads,IG - Retargeting,113.58,107.0
2026-05-02,Meta Ads,FB - Prospecting,163.97,150.52
2026-06-10,Meta Ads,FB - Prospecting,122.6,116.68
2026-05-01,Meta Ads,FB - Prospecting,167.38,150.95
2026-06-24,Google Ads,Display - Retargeting,97.25,90.64
2026-06-19,Meta Ads,FB - Lookalike,104.26,99.96
2026-05-15,Google Ads,Search - Brand,141.62,127.66
2026-06-15,Meta Ads,IG - Catalog Sales,152.83,143.04
2026-06-01,Google Ads,Shopping - Bestsellers,174.2,167.82
2026-07-02,Google Ads,Shopping - Bestsellers,208.03,188.94
2026-06-27,Meta Ads,FB - Prospecting,118.81,116.15
2026-07-15,Google Ads,Display - Retargeting,209.02,195.1
2026-05-08,Google Ads,Search - Brand,123.67,113.84
2026-06-13,Meta Ads,IG - Catalog Sales,92.34,88.43
2026-07-14,Meta Ads,FB - Lookalike,121.14,111.2
2026-05-05,Google Ads,Shopping - Bestsellers,188.66,182.89
2026-05-17,Google Ads,Search - Non Brand,294.48,282.26
2026-05-22,Google Ads,Display - Retargeting,0.0,0.0
2026-07-20,Google Ads,Display - Retargeting,111.0,106.63
2026-05-24,Google Ads,Display - Retargeting,150.79,147.86
2026-06-23,Meta Ads,FB - Prospecting,127.68,121.81
2026-05-11,Meta Ads,FB - Lookalike,71.78,65.2
2026-06-27,Google Ads,Search - Brand,166.11,152.2
