Alert Date,Channel,Metric,Old Alert,Current Period Value,Comparison Period Value
2026-05-01,Google Ads,ROAS,No,7.64,5.36
2026-05-02,Meta Ads,CPA,No,65.05,44.35
2026-05-05,Meta Ads,CTR,Yes,16.15,12.83
2026-05-07,Meta Ads,CPA,No,11.01,18.5
2026-05-10,Google Ads,ROAS,Yes,6.33,4.09
2026-05-12,Meta Ads,CTR,Yes,9.45,13.38
2026-05-14,Meta Ads,CPA,No,74.54,57.88
2026-05-16,Google Ads,ROAS,No,4.93,3.39
2026-05-17,Meta Ads,ROAS,No,4.75,3.71
2026-05-19,Meta Ads,CPA,Yes,3.79,5.31
2026-05-22,Meta Ads,CPA,No,20.12,35.96
2026-05-23,Meta Ads,CTR,No,22.92,15.56
2026-05-24,Google Ads,ROAS,No,6.45,5.1
2026-05-29,Meta Ads,CPA,Yes,15.72,30.89
2026-05-31,Google Ads,Conversion Rate,Yes,10.68,16.63
2026-06-03,Meta Ads,CPA,Yes,16.38,37.59
2026-06-10,Google Ads,CPA,Yes,71.22,48.98
2026-06-12,Meta Ads,ROAS,No,6.41,4.65
2026-06-14,Meta Ads,Conversion Rate,Yes,55.37,39.18
2026-06-20,Meta Ads,CPA,No,19.47,13.02
2026-06-27,Meta Ads,CPA,Yes,47.14,34.27
2026-07-03,Meta Ads,Conversion Rate,Yes,68.98,54.86
2026-07-10,Google Ads,CTR,No,14.83,20.31
2026-07-12,Google Ads,ROAS,No,7.22,4.83
2026-07-13,Meta Ads,CPA,No,10.9,21.22
2026-07-16,Meta Ads,Conversion Rate,No,12.11,24.96
2026-07-17,Meta Ads,ROAS,Yes,4.56,3.27
2026-07-18,Google Ads,ROAS,No,7.59,5.67
2026-07-20,Google Ads,CPA,No,4.9,8.99
2026-07-23,Google Ads,Conversion Rate,No,35.97,58.22
2026-07-24,Google Ads,CPA,Yes,7.67,5.6
2026-07-25,Google Ads,ROAS,No,4.61,3.53
2026-07-26,Meta Ads,CTR,No,64.24,40.17
2026-07-28,Meta Ads,ROAS,Yes,4.48,3.26
2026-07-29,Meta Ads,CPA,No,17.91,25.24
