stage,issue
schema,"transaction_id: expected nullable='NO', found 'YES'"
schema,"customer_id: expected nullable='NO', found 'YES'"
schema,"order_timestamp: expected type 'datetime', found 'varchar'"
schema,"order_timestamp: expected nullable='NO', found 'YES'"
schema,"channel: expected nullable='NO', found 'YES'"
schema,"revenue: expected type 'decimal', found 'varchar'"
schema,"revenue: expected nullable='NO', found 'YES'"
schema,Duplicate transaction_id 'TXN100224' appears 2 times
schema,Duplicate transaction_id 'TXN100522' appears 2 times
schema,Duplicate transaction_id 'TXN100563' appears 2 times
schema,Duplicate transaction_id 'TXN100012' appears 2 times
schema,Duplicate transaction_id 'TXN100628' appears 2 times
schema,Duplicate transaction_id 'TXN100708' appears 2 times
schema,Duplicate transaction_id 'TXN100108' appears 2 times
schema,Duplicate transaction_id 'TXN100478' appears 2 times
schema,Duplicate transaction_id 'TXN100404' appears 2 times
schema,Duplicate transaction_id 'TXN100513' appears 2 times
standardization,transaction_id TXN100415: unparseable revenue ''
standardization,transaction_id TXN100570: unparseable revenue ''
standardization,transaction_id TXN100749: unparseable revenue ''
standardization,transaction_id TXN100607: unparseable revenue ''
standardization,transaction_id TXN100753: unparseable revenue ''
standardization,transaction_id TXN100035: unparseable revenue ''
standardization,transaction_id TXN100243: unparseable revenue ''
standardization,transaction_id TXN100608: unparseable revenue ''
standardization,transaction_id TXN100169: unparseable revenue ''
standardization,transaction_id TXN100436: unparseable revenue ''
standardization,transaction_id TXN100468: unparseable revenue ''
standardization,transaction_id TXN100501: unparseable revenue ''
standardization,Duplicate transaction_id 'TXN100224' in cleaned data
standardization,Duplicate transaction_id 'TXN100522' in cleaned data
standardization,Duplicate transaction_id 'TXN100563' in cleaned data
standardization,Duplicate transaction_id 'TXN100012' in cleaned data
standardization,Duplicate transaction_id 'TXN100628' in cleaned data
standardization,Duplicate transaction_id 'TXN100708' in cleaned data
standardization,Duplicate transaction_id 'TXN100108' in cleaned data
standardization,Duplicate transaction_id 'TXN100478' in cleaned data
standardization,Duplicate transaction_id 'TXN100404' in cleaned data
standardization,Duplicate transaction_id 'TXN100513' in cleaned data
validation,"transaction_id TXN100153: revenue outlier 228.17 (mean=75.54, std=41.83)"
validation,"transaction_id TXN100125: revenue outlier 234.59 (mean=75.54, std=41.83)"
validation,"transaction_id TXN100495: revenue outlier 230.88 (mean=75.54, std=41.83)"
validation,"transaction_id TXN100015: revenue outlier 219.94 (mean=75.54, std=41.83)"
validation,"transaction_id TXN100093: revenue outlier 225.48 (mean=75.54, std=41.83)"
validation,"transaction_id TXN100614: revenue outlier 364.14 (mean=75.54, std=41.83)"
validation,"transaction_id TXN100721: revenue outlier 202.61 (mean=75.54, std=41.83)"
validation,transaction_id TXN100415: missing revenue_clean
validation,transaction_id TXN100570: missing revenue_clean
validation,transaction_id TXN100749: missing revenue_clean
validation,transaction_id TXN100607: missing revenue_clean
validation,transaction_id TXN100753: missing revenue_clean
validation,transaction_id TXN100035: missing revenue_clean
validation,transaction_id TXN100243: missing revenue_clean
validation,transaction_id TXN100608: missing revenue_clean
validation,transaction_id TXN100169: missing revenue_clean
validation,transaction_id TXN100436: missing revenue_clean
validation,transaction_id TXN100468: missing revenue_clean
validation,transaction_id TXN100501: missing revenue_clean
